,country,diversity,year
0,ABW,25,1995
5017,AFG,147,1995
10034,AGO,13,1995
15051,AIA,97,1995
20068,ALB,352,1995
25085,AND,378,1995
30102,ANT,156,1995
35119,ARE,258,1995
40136,ARG,591,1995
45153,ARM,69,1995
50170,ATF,5,1995
55187,ATG,131,1995
60204,AUS,711,1995
65221,AUT,1495,1995
70238,AZE,117,1995
75255,BDI,79,1995
80272,BEL,1528,1995
85289,BEN,142,1995
90306,BFA,126,1995
95323,BGD,326,1995
100340,BGR,852,1995
105357,BHR,153,1995
110374,BHS,113,1995
115391,BIH,383,1995
120408,BLR,525,1995
125425,BLZ,144,1995
130442,BMU,51,1995
135459,BOL,200,1995
140476,BRA,858,1995
145493,BRB,300,1995
150510,BRN,49,1995
155527,BTN,83,1995
160544,CAF,92,1995
165561,CAN,780,1995
170578,CCK,183,1995
175595,CHE,1288,1995
180612,CHL,397,1995
185629,CHN,1680,1995
190646,CIV,237,1995
195663,CMR,172,1995
200680,COD,75,1995
205697,COG,46,1995
210714,COK,126,1995
215731,COL,567,1995
220748,COM,66,1995
225765,CPV,79,1995
230782,CRI,455,1995
235799,CUB,115,1995
240816,CXR,34,1995
245833,CYM,118,1995
250850,CYP,584,1995
255867,CZE,1694,1995
260884,DEU,2223,1995
265901,DJI,346,1995
270918,DMA,303,1995
275935,DNK,1147,1995
280952,DOM,279,1995
285969,DZA,104,1995
290986,ECU,227,1995
296003,EGY,615,1995
301020,ERI,130,1995
306037,ESP,1537,1995
311054,EST,889,1995
316071,ETH,131,1995
321088,FIN,759,1995
326105,FJI,223,1995
331122,FLK,73,1995
336139,FRA,1807,1995
341156,FSM,28,1995
346173,GAB,28,1995
351190,GBR,1714,1995
356207,GEO,210,1995
361224,GHA,136,1995
366241,GIB,172,1995
371258,GIN,102,1995
376275,GMB,152,1995
381292,GNB,40,1995
386309,GNQ,25,1995
391326,GRC,856,1995
396343,GRD,137,1995
401360,GRL,63,1995
406377,GTM,593,1995
411394,GUY,101,1995
416411,HKG,1354,1995
421428,HND,376,1995
426445,HRV,988,1995
431462,HTI,239,1995
436479,HUN,1191,1995
441496,IDN,909,1995
446513,IND,1272,1995
451530,IOT,45,1995
456547,IRL,681,1995
461564,IRN,99,1995
466581,IRQ,24,1995
471598,ISL,207,1995
476615,ISR,808,1995
481632,ITA,2034,1995
486649,JAM,206,1995
491666,JOR,379,1995
496683,JPN,1265,1995
501700,KAZ,271,1995
506717,KEN,467,1995
511734,KGZ,325,1995
516751,KHM,147,1995
521768,KIR,46,1995
526785,KNA,168,1995
531802,KOR,1053,1995
536819,KWT,47,1995
541836,LAO,147,1995
546853,LBN,601,1995
551870,LBR,20,1995
556887,LBY,60,1995
561904,LCA,232,1995
566921,LKA,498,1995
571938,LTU,874,1995
576955,LVA,623,1995
581972,MAC,500,1995
586989,MAR,616,1995
592006,MDA,540,1995
597023,MDG,313,1995
602040,MDV,77,1995
607057,MEX,794,1995
612074,MHL,26,1995
617091,MKD,746,1995
622108,MLI,120,1995
627125,MLT,308,1995
632142,MMR,217,1995
637159,MNG,117,1995
642176,MNP,60,1995
647193,MOZ,133,1995
652210,MRT,55,1995
657227,MSR,71,1995
662244,MUS,434,1995
667261,MWI,253,1995
672278,MYS,625,1995
677295,NCL,44,1995
682312,NER,149,1995
687329,NFK,6,1995
692346,NGA,72,1995
697363,NIC,275,1995
702380,NIU,43,1995
707397,NLD,1446,1995
712414,NOR,565,1995
717431,NPL,251,1995
722448,NRU,49,1995
727465,NZL,689,1995
732482,OMN,178,1995
737499,PAK,571,1995
742516,PAN,625,1995
747533,PCN,15,1995
752550,PER,390,1995
757567,PHL,545,1995
762584,PLW,32,1995
767601,PNG,54,1995
772618,POL,1210,1995
777635,PRK,623,1995
782652,PRT,1043,1995
787669,PRY,237,1995
792686,PUS,165,1995
797703,PYF,76,1995
802720,QAT,58,1995
807737,ROU,972,1995
812754,RUS,529,1995
817771,RWA,65,1995
822788,S19,1374,1995
827805,SAU,192,1995
832822,SCG,567,1995
837839,SDN,120,1995
842856,SEN,185,1995
847873,SGP,686,1995
852890,SHN,62,1995
857907,SLB,43,1995
