country,kl_divergence,clarity,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
SSD,0.03757365872662215,1.0,22,62.66538651750523,-2.693468,1,1
IRQ,2.4636999211204733,0.14525893240575338,31,63.676631450675345,-2.3749123,1,1
PNG,2.7053206732518045,0.15492722080354837,23,65.78120764430646,-2.0887618,1,1
GNB,4.414089100904423,0.14325747602507954,24,60.776496971789406,-2.0833538,1,1
SOM,2.982365509176575,0.14758281828014552,26,61.61755285105267,-2.000101,1,1
VUT,3.1421733623926564,0.1377044849966922,35,61.94773745806443,-1.9385884,1,1
GNQ,2.8349346136781666,0.20865840855681406,22,61.644677455588514,-1.7835209,1,1
HTI,2.818123280790856,0.16737512243124653,34,61.14449986442141,-1.7281004,1,1
BGD,1.407598848212541,0.14559021276276307,28,61.782596677375984,-1.6887597,1,1
MMR,1.8802087842407067,0.09070927887181257,28,63.05905266142222,-1.688534,1,1
MDG,1.6940896400999248,0.20855683197725683,29,60.729807703772615,-1.6392477,1,1
ERI,3.0510664835362062,0.07009317034908846,25,66.08336465085817,-1.616335,1,1
SLB,2.96329541455767,0.08441251483817946,23,62.17251533049574,-1.5273842,1,1
LSO,1.701625665665032,0.0730596556579377,35,62.32514212319195,-1.5172487,1,1
SDN,2.732336611978353,0.13657177495934725,26,62.986344355139025,-1.4770366,1,1
NER,1.710772270181732,0.05792772472485441,22,63.582518506870876,-1.4483869,1,1
NGA,2.05669388532442,0.10263269767386607,39,63.61778991861494,-1.4356915,1,1
TLS,3.4520087549978222,0.09620057596310938,25,67.27134488419199,-1.4346049,1,1
NIC,1.7040387184798285,0.08116058936903037,21,62.344734166716044,-1.4251862,1,1
TKM,2.5827783318569875,0.0732911309672013,23,63.49590804544882,-1.4158057,1,1
MLI,3.660368356730335,0.2295976172719325,23,61.096870384888696,-1.3603895,1,1
KHM,1.1644341805759248,0.16493776109650804,30,61.83970677684896,-1.3592235,1,1
ETH,1.4822156800848043,0.1294567220419065,29,61.483014017145244,-1.2926232,1,1
TCD,3.668256822920024,0.13213834634241572,27,61.34032891831316,-1.2902253,1,1
TJK,2.0883279547894085,0.04356648817519437,31,63.24318967527328,-1.2867728,1,1
GIN,2.4205491797365246,0.048206868422214,23,63.0338325746781,-1.2660022,1,1
BFA,2.497198462796267,0.141305807429857,31,61.643070697935386,-1.2446821,1,1
COG,2.3311336340330704,0.11482143164493763,28,63.08819815455008,-1.2170352,1,1
MRT,2.5500662761762856,0.04811321998902529,27,61.56684851054007,-1.1816255,1,1
LAO,2.265087310309262,0.2077469079155806,19,62.79665834809697,-1.1774445,1,1
BDI,3.585245448917798,0.15963476367742946,27,62.165193909546666,-1.1197351,1,1
COD,2.758348534047932,0.16261506622106758,21,61.58379355999099,-1.114846,1,1
TZA,1.126612545137154,0.026651681141379835,23,61.45329036452704,-1.1051522,1,1
AFG,2.2014618656969405,0.19085533663585863,28,60.80420484145832,-1.0769901,1,1
MOZ,1.9521851363621998,0.2534308073269864,26,61.97694987089885,-1.0567931,1,1
GUY,3.3705119194985627,0.1500995676201995,20,61.31768292861223,-1.0376264,1,1
