country,kl_divergence,clarity,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
SSD,5.187306373204137e-05,1.0,27,61.79330573751727,-2.693468,leontief,0.5
IRQ,3.1751228844877155,0.10318902661077056,25,64.00189322904585,-2.3749123,0,1.0
PNG,1.9331754994078196,0.3675882261355766,32,65.24379019411651,-2.0887618,1,4.0
GNB,3.1515223072931327,0.3342205594754949,22,60.73664979846246,-2.0833538,1,4.0
SOM,2.4006939882852,0.26049345891106046,27,60.49469587581456,-2.000101,0,2.0
VUT,2.7699237228036218,0.19416866714760883,32,61.991265931254276,-1.9385884,0,2.0
GNQ,2.767159681698544,0.19009178549678052,27,63.20332566993267,-1.7835209,0,4.0
HTI,2.1140683066385817,0.2578651093675981,25,61.055543913585595,-1.7281004,0,2.0
BGD,1.1730553114112499,0.36594263313060527,27,62.38089246684925,-1.6887597,0,4.0
MMR,1.2875778998674297,0.25575498325870816,21,60.77022986902846,-1.688534,0,1.0
MDG,1.4322753833472561,0.3023747919082491,31,62.12056659517421,-1.6392477,0,3.0
ERI,2.68728668858219,0.09444663019465238,23,65.29761910009621,-1.616335,0,1.0
SLB,2.606351510038178,0.16946526626669856,28,61.63868683525283,-1.5273842,1,2.0
LSO,1.8334294036982974,0.1552743895491555,32,63.20351299865786,-1.5172487,0,2.0
SDN,2.3474000598684435,0.27529095566523254,30,60.910636571102565,-1.4770366,0,2.0
NER,1.7765495527090005,0.07896060640357949,33,62.36650090577512,-1.4483869,1,2.0
NGA,2.395373940670091,0.035169808063494234,29,60.24210678226656,-1.4356915,-9,4.0
TLS,2.756543358887386,0.09420061595843854,26,65.80423024693391,-1.4346049,1,2.0
NIC,1.0997118004030202,0.15699980708473904,23,62.33894284009129,-1.4251862,1,2.0
TKM,2.0449273305403777,0.277098846335054,28,62.12399462627213,-1.4158057,0,2.0
MLI,2.324561310009197,0.525583208277195,24,61.51896379856189,-1.3603895,0,4.0
KHM,1.1149002038159979,0.25288954271876296,25,60.8726541376828,-1.3592235,0,2.0
ETH,1.2758711807356484,0.02758634264954274,34,61.19389155609633,-1.2926232,-3,1.0
TCD,2.4879006217951836,0.37495859431907164,26,61.7010036580911,-1.2902253,0,3.0
TJK,2.3196006499039017,0.08122400965632337,33,63.25487814890394,-1.2867728,-9,1.0
GIN,2.1389246737229115,0.17680768173103178,25,61.05757730639545,-1.2660022,0,2.0
BFA,1.9509527365520514,0.32413347853860897,30,61.26475196653436,-1.2446821,0,2.0
COG,2.3010815315213176,0.09986548165061515,23,63.19177661120741,-1.2170352,0,2.0
MRT,2.1477468261928547,0.1520397946126265,26,61.6966177979936,-1.1816255,1,2.0
LAO,2.216220405557485,0.2203331217199711,27,63.00736230485721,-1.1774445,1,3.0
BDI,1.9151142683890705,0.5478707042688034,22,60.95256633508612,-1.1197351,0,3.0
COD,2.3316611304806223,0.3249155698138385,28,60.57890074722946,-1.114846,0,2.0
